,Lemme,Forme_originale,Categorie,Longueur,Frequence
22,donc,donc,Adverbe,4,664
103,faire,faire,Verbe,5,662
63,campagne,campagne,Nom,8,520
19,pouvoir,peut,Verbe,7,441
15,dire,dis,Verbe,4,391
55,falloir,faut,Verbe,7,277
71,aussi,aussi,Adverbe,5,274
40,tout,tout,Adverbe,4,250
173,alors,alors,Adverbe,5,198
582,candidat,candidats,Nom,8,197
10,politique,politique,Adjectif,9,193
149,voir,voit,Verbe,4,166
318,tres,tres,Adverbe,4,163
371,savoir,savoir,Verbe,6,161
80,autre,autres,Adjectif,5,159
159,aller,vais,Verbe,5,151
194,chose,chose,Nom,5,151
508,partir,partir,Verbe,6,148
1273,personne,personnes,Nom,8,147
1939,eter,etait,Verbe,4,144
4,penser,pense,Verbe,6,142
193,beaucoup,beaucoup,Adverbe,8,142
57,temps,temps,Adverbe,5,139
214,apre,apres,Nom,4,134
16,gens,gens,Nom,4,130
359,militant,militants,Nom,8,121
61,vouloir,veux,Verbe,7,117
1726,vraiment,vraiment,Adverbe,8,116
45,communication,communication,Nom,13,114
53,parce,parce,Adverbe,5,112
440,parler,parler,Verbe,6,111
90,avoir,avoir,Verbe,5,109
76,outil,outil,Nom,5,107
48,prendre,pris,Verbe,7,107
158,petit,petit,Adjectif,5,105
12,comment,comment,Adverbe,7,103
235,toujours,toujours,Adverbe,8,99
534,liste,liste,Nom,5,91
680,voila,voila,Adjectif,5,90
113,moment,moment,Nom,6,89
352,devoir,doit,Verbe,6,89
1278,forcement,forcement,Adverbe,9,89
174,assez,assez,Adverbe,5,86
213,passer,passer,Verbe,6,86
2042,truc,truc,Nom,4,85
2,public,publique,Adjectif,6,82
688,fort,forts,Adjectif,4,80
434,exemple,exemple,Nom,7,80
132,meme,meme,Nom,4,79
5857,maire,maire,Nom,5,79
886,election,elections,Nom,8,79
78,venir,vient,Verbe,5,77
264,fois,fois,Verbe,4,73
1950,encore,encore,Adverbe,6,73
42,reseau,reseaux,Nom,6,72
620,premier,premier,Adjectif,7,72
38,enfin,enfin,Adverbe,5,71
162,arriver,arrive,Verbe,7,69
43,social,sociaux,Adjectif,6,68
133,aujourd,aujourd,Adjectif,7,68
50,important,importante,Adjectif,9,66
1739,groupe,groupes,Nom,6,65
358,programme,programme,Nom,9,64
346,equipe,equipe,Nom,6,63
411,trouver,trouver,Verbe,7,63
34,question,question,Nom,8,63
232,permettre,permette,Verbe,9,63
261,fait,fait,Nom,4,61
1299,coup,coup,Nom,4,59
126,mettre,mettre,Verbe,6,58
581,rapport,rapports,Nom,7,58
144,souvent,souvent,Adverbe,7,57
5718,effectivement,effectivement,Adverbe,13,57
794,monde,monde,Nom,5,56
2118,porte,porte,Verbe,5,56
1384,compte,compte,Nom,6,55
190,besoin,besoin,Nom,6,53
331,reunion,reunions,Nom,7,53
693,travail,travail,Nom,7,52
1080,voiler,voila,Verbe,6,51
2835,machin,machin,Adjectif,6,51
866,terrain,terrain,Adjectif,7,50
525,plutot,plutot,Adverbe,6,48
365,travailler,travaillent,Verbe,10,48
1305,moins,moins,Adverbe,5,47
65,evidemment,evidemment,Adverbe,10,47
1011,vrai,vraies,Adjectif,4,46
17,grand,grand,Adjectif,5,45
353,place,place,Nom,5,45
1101,national,nationale,Adjectif,8,45
489,envie,envie,Nom,5,44
1576,ailleurs,ailleurs,Adverbe,8,44
1865,utiliser,utilise,Verbe,8,44
3955,cote,cote,Nom,4,43
610,moyen,moyens,Nom,5,43
343,jamais,jamais,Adverbe,6,43
141,element,element,Adverbe,7,43
1108,terme,termes,Nom,5,42
342,gagner,gagne,Verbe,6,42
69,numeriqu,numerique,Adjectif,8,42
941,strategie,strategie,Nom,9,42
1671,maintenant,maintenant,Adverbe,10,42
485,parti,parti,Nom,5,41
98,marche,marches,Adjectif,6,41
106,partie,partie,Nom,6,41
1778,suivre,suivi,Verbe,6,41
862,semaine,semaine,Nom,7,41
5648,justement,justement,Adverbe,9,41
309,general,generale,Adjectif,7,40
1180,information,informations,Nom,11,40
3579,tour,tour,Nom,4,39
6844,vote,vote,Nom,4,39
24,donne,donne,Verbe,5,39
131,seul,seul,Adjectif,4,38
858,jour,jours,Nom,4,38
6546,gros,gros,Adjectif,4,38
973,sortir,sortant,Verbe,6,38
3905,niveau,niveau,Nom,6,38
1740,commencer,commencent,Verbe,9,38
5882,sondage,sondages,Nom,7,37
1793,quartier,quartiers,Nom,8,37
2631,directeur,directeur,Nom,9,37
217,site,site,Nom,4,36
4631,facon,facon,Adverbe,5,36
476,epoque,epoque,Nom,6,36
1677,facebook,facebook,Adjectif,8,36
716,municipal,municipales,Adjectif,9,36
627,appeler,appelle,Verbe,7,35
49,part,part,Nom,4,34
907,trop,trop,Adverbe,4,34
730,cadre,cadre,Nom,5,34
7138,radical,radical,Adjectif,7,34
88,relation,relation,Nom,8,34
14,quand,quand,Adverbe,5,33
209,heure,heure,Nom,5,33
1328,action,actions,Nom,6,33
1,opinion,opinion,Nom,7,33
1218,demande,demande,Verbe,7,33
1312,apporter,apporte,Verbe,8,33
1260,retrouver,retrouve,Verbe,9,33
3133,president,president,Nom,9,33
3135,notamment,notamment,Adverbe,9,33
540,socialiste,socialiste,Nom,10,33
550,construire,construisent,Verbe,10,33
2126,experience,experience,Nom,10,33
850,idee,idee,Verbe,4,32
919,mois,mois,Nom,4,32
1689,etre,etres,Nom,4,32
7890,base,base,Nom,4,32
322,local,locale,Adjectif,5,32
355,donner,donner,Verbe,6,32
882,depend,depend,Adjectif,6,32
3494,citoyen,citoyen,Adjectif,7,32
1402,probleme,probleme,Nom,8,32
1188,organiser,organise,Verbe,9,32
5783,finalement,finalement,Adverbe,10,32
136,electoral,electorale,Adjectif,9,31
720,different,differents,Adjectif,9,31
481,interessant,interessant,Adjectif,11,31
6,sujet,sujet,Nom,5,30
380,boite,boites,Nom,5,30
2613,autour,autour,Adverbe,6,30
2733,agence,agence,Nom,6,30
506,essayer,essayer,Verbe,7,30
2160,surtout,surtout,Adverbe,7,30
1577,connaître,connaissent,Verbe,9,30
299,population,population,Nom,10,30
7963,generalement,generalement,Adverbe,12,30
843,communiquer,communiquer,Verbe,11,29
47,autant,autant,Adverbe,6,27
903,projet,projet,Nom,6,27
